CodDistritoConcelho,P_IP_Total,P_IP_Inef,Cap_PTD,Util_Media,N_PTDs,Delta_PLED,PFolga,PVE,D,Rate_Ineficiencia
1008,256.78550131988527,77.39,12367,0.4618947368421053,100,50.3035,6122.367966315789,1320.0,4852.671466315789,0.3013799439696285
1009,2333.1450936660767,1132.675,272905,0.5770498474059003,1015,736.23875,106191.19448219737,13398.0,93529.43323219738,0.48547130783890724
1010,547.1648019065857,225.16000000000003,74590,0.5272146118721461,225,146.354,32443.857132420093,2970.0,29620.211132420092,0.41150307771156724
1011,259.09770050811767,74.115,34585,0.5788461538461539,107,48.174749999999996,13400.357307692306,1412.3999999999999,12036.132057692306,0.2860503966444038
1012,295.6641999092102,14.870000000000001,54800,0.5089385474860335,183,9.665500000000002,24757.354189944133,2415.6,22351.419689944134,0.050293542486936675
1013,154.8737007789612,11.52,9636,0.51859375,70,7.4879999999999995,4267.724175,924.0,3351.2121750000006,0.0743831905743737
1014,439.0904980812073,10.57,45185,0.6157333333333334,154,6.870500000000001,15974.042186666667,2032.8,13948.11268666667,0.02407248630109308
1015,1487.6672018375398,525.59,107470,0.5635333333333333,610,341.6335,43154.50685333334,8052.0,35444.14035333334,0.3532981027953031
1016,511.37910207748416,227.03,45655,0.5516591928251121,226,147.5695,18831.479587443944,2983.2,15995.849087443945,0.44395635073409867
1101,550.0428991775512,11.81,85035,0.542624584717608,310,7.676500000000001,35781.48496345515,4092.0,31697.16146345515,0.021471052562734363
1102,190.70959959793092,6.859999999999999,29010,0.5590983606557377,124,4.459,11767.312032786886,1636.8,10134.971032786887,0.035970921308957675
1103,292.29030000686646,13.13,52668,0.5373423423423423,238,8.534500000000001,22417.873232432434,3141.6,19284.807732432437,0.044921093856660835
1104,242.49960118484498,5.77,29390,0.5946,151,3.7504999999999997,10961.52952,1993.1999999999998,8972.080020000001,0.02379385356432741
1105,4514.775201587677,3494.92,463680,0.5019521912350599,789,2271.6980000000003,212460.02333067727,10414.8,204316.9213306773,0.7741072022303498
1106,9065.655299848557,28.985,1767583,0.4005137614678899,2278,18.84025,974870.3492462385,30069.6,944819.5894962385,0.0031972316441905967
1107,2743.6415086708066,1406.5349999999999,346540,0.5366012084592146,701,914.2477499999999,147739.3198429003,9253.199999999999,139400.3675929003,0.5126526171713353
1108,476.5698987922668,59.79,59440,0.5412554112554112,236,38.8635,25086.35608658009,3115.2,22010.01958658009,0.1254590358130487
1109,1417.9549080123902,24.86,181335,0.5566967509025271,580,16.159,73955.48310108302,7656.0,66315.64210108302,0.01753229235959792
1110,3439.515600082397,2757.62,388680,0.4623756906077348,572,1792.453,192246.7112486188,7550.4,186488.76424861883,0.8017466180220082
1111,5354.724623470306,2764.985,543540,0.5533037475345167,1052,1797.24025,223373.4985798817,13886.4,211284.33882988172,0.5163636217408432
1112,131.97379914283752,1.27,20040,0.6134177215189873,82,0.8255,7127.340151898734,1082.3999999999999,6045.765651898734,0.009623122227658666
1113,1152.3800947532654,154.945,185715,0.5519765494137353,623,100.71424999999999,76548.30111557791,8223.6,68425.41536557791,0.1344565050242169
1114,1629.1319177627563,525.255,240890,0.48081896551724135,493,341.41575,115060.27784482761,6507.599999999999,108894.0935948276,0.3224140379750946
1115,1812.7461012535096,348.15999999999997,208060,0.5634057971014492,286,226.30399999999997,83570.76666666668,3775.2,80021.87066666668,0.19206219765649926
1116,1359.9431039123535,656.84,207965,0.5354093567251462,358,426.946,88889.10567836258,4725.599999999999,84590.45167836257,0.4829907943283578
1201,94.73900004577636,11.314,10200,0.39732142857142855,57,7.3541,5655.535714285714,752.4,4910.489814285714,0.11942283531104673
1202,83.18180065917969,0.54,15250,0.341875,113,0.35100000000000003,9233.493750000001,1491.6,7742.244750000002,0.006491804646217493
